cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,5.67439115,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,4.45823508,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,5.634359946,mg/L,Widmayer 2022,Growth
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,6.336796123,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,3.451315971,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,5.160835782,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,5.20307196,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,4.099531621,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,3.338406992,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,4.405992319,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,5.126850447,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,6.176541973,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,17.76809343,mg/L,Widmayer 2022,Growth
